Code,Treatment,CH4 Production (nmol/mg/day),Weight (g),Replicates
1A,Control,481.58,5.632,1
1B,Control,425.17,7.122,2
1C,Control,85.98,5.832,3
1D,Control,501.95,5.912,4
1E,Control,188.85,5.548,5
1G,Control,259.18,5.071,6
1H,Control,196.56,3.407,7
1I,Control,23.86,3.945,8
1J,Control,393.36,4.101,9
2A,Sterile,89.21,5.138,1
2C,Sterile,332.23,5.014,2
2D,Sterile,195.81,5.365,3
2E,Sterile,24.35,4.758,4
2F,Sterile,211.72,3.1,5
2G,Sterile,0.25,2.954,6
2H,Sterile,87.97,3.042,7
2J,Sterile,32.55,2.98,8
3B,Undiluted,112.57,5.418,1
3C,Undiluted,124.99,5.21,2
3D,Undiluted,61.13,4.961,3
3E,Undiluted,93.43,5.091,4
3F,Undiluted,47.21,1.684,5
3G,Undiluted,37.27,2.612,6
3H,Undiluted,104.62,3.268,7
3I,Undiluted,0.75,2.618,8
3J,Undiluted,87.47,3.745,9
4A,2X Diluted,0.25,5.088,1
4B,2X Diluted,83.74,3.932,2
4C,2X Diluted,118.28,4.704,3
4D,2X Diluted,38.52,5.099,4
4E,2X Diluted,78.77,4.649,5
4F,2X Diluted,178.42,3.665,6
4G,2X Diluted,39.01,1.732,7
4H,2X Diluted,53.92,4.756,8
4J,2X Diluted,124.49,3.854,9
